id_venta,fecha,TIENDA_id_tienda,CLIENTE_id_cliente,EMPLEADO_id_empleado,ESTADO_VENTA_id_estado_venta
85,2025-03-27,12,167,53,3
86,2025-10-14,1,113,3,2
87,2025-07-31,9,283,40,1
88,2025-08-26,13,229,55,1
89,2026-05-18,6,292,22,3
90,2025-07-12,6,202,22,2
91,2025-04-13,4,7,15,2
92,2025-05-27,8,138,31,3
93,2025-03-29,18,174,79,2
94,2025-02-15,18,11,74,2
95,2025-10-21,13,181,55,2
96,2025-03-28,11,185,45,1
97,2025-10-21,14,155,58,2
98,2025-05-31,3,77,9,2
99,2025-12-28,5,198,18,2
100,2026-07-04,18,273,77,1
101,2026-01-07,1,9,2,2
102,2026-03-08,15,283,62,2
103,2025-02-25,1,191,4,1
104,2025-05-25,1,188,2,2
105,2025-11-03,5,271,20,2
106,2025-06-14,20,258,85,2
107,2026-06-19,6,48,23,2
108,2026-05-04,6,240,21,2
109,2025-09-03,12,15,53,2
110,2025-02-03,7,104,29,2
111,2025-04-06,2,162,5,3
112,2025-11-19,13,100,57,1
113,2025-06-03,17,258,70,2
114,2025-06-14,8,73,32,3
115,2025-09-02,14,199,58,2
116,2025-11-13,4,74,14,2
117,2025-10-14,10,35,42,2
118,2026-05-15,5,292,18,2
119,2026-06-03,12,212,51,2
120,2025-06-12,4,193,16,2
121,2025-04-22,15,239,65,2
122,2025-08-06,11,249,47,1
123,2026-01-25,11,17,49,2
124,2025-03-12,6,73,21,2
125,2025-07-08,17,133,71,1
126,2025-12-24,10,102,42,3
127,2026-07-29,19,6,83,1
128,2025-01-15,11,163,50,2
129,2026-08-16,5,231,20,2
130,2025-01-15,7,296,26,2
131,2025-12-27,14,181,59,1
132,2025-10-18,13,224,56,1
133,2025-04-13,4,279,17,2
134,2025-07-20,18,59,77,1
135,2025-08-18,13,192,55,2
136,2025-06-07,2,14,5,1
137,2025-02-22,7,202,29,1
138,2026-02-06,17,296,70,1
139,2026-01-27,1,293,1,2
140,2025-09-09,10,275,42,1
141,2026-04-16,19,57,80,3
142,2025-04-06,10,93,43,2
143,2026-01-20,7,215,30,1
144,2025-12-22,2,176,5,2
145,2026-07-03,7,16,29,2
146,2025-10-02,8,65,31,2
147,2026-02-14,16,263,69,3
148,2025-07-30,4,85,16,3
149,2026-08-04,13,103,56,2
150,2025-12-27,14,272,59,2
151,2025-08-09,12,38,52,1
152,2026-07-30,19,120,82,2
153,2025-11-22,19,223,83,1
154,2025-12-01,4,88,17,2
155,2026-02-17,15,68,63,2
156,2025-10-09,4,155,17,2
157,2026-01-18,15,63,64,3
158,2025-04-18,2,72,5,3
159,2025-04-24,2,23,7,2
160,2025-05-03,5,236,20,2
161,2025-10-15,19,251,83,2
162,2025-03-18,7,40,30,3
163,2025-07-12,7,198,28,2
164,2025-05-14,5,55,20,2
165,2026-08-15,14,158,58,2
166,2026-05-03,6,15,23,1
167,2026-01-14,2,140,8,2
168,2025-04-24,4,128,14,2
169,2025-08-20,18,142,74,1
170,2025-04-07,20,2,86,2
171,2026-05-01,15,7,62,2
172,2025-01-02,12,299,54,2
173,2025-04-07,8,76,32,2
174,2025-11-05,15,181,61,1
175,2026-05-25,8,183,32,2
176,2025-12-06,6,179,23,2
177,2025-01-09,12,57,53,2
178,2025-03-08,10,148,44,1
179,2025-01-06,2,157,8,2
180,2025-10-05,17,45,71,2
181,2026-03-09,12,198,52,2
182,2026-08-16,19,166,83,2
183,2026-04-18,3,291,11,2
184,2026-04-23,15,219,63,2
185,2026-07-11,8,66,33,1
186,2025-03-28,17,28,73,2
187,2025-03-04,19,170,83,2
188,2025-11-05,5,80,18,2
189,2025-05-04,3,79,9,2
190,2025-07-08,10,248,44,1
191,2025-09-04,1,73,2,2
192,2026-01-31,12,201,53,1
193,2026-04-14,5,146,18,2
194,2025-10-11,5,235,19,2
195,2025-06-05,17,90,70,2
196,2026-08-13,13,93,56,1
197,2025-01-31,13,24,55,1
198,2025-08-31,16,119,68,2
199,2026-01-19,2,227,5,2
200,2026-07-24,13,294,55,2
201,2026-08-20,17,45,71,2
202,2025-07-09,19,175,80,1
203,2026-03-26,18,35,75,2
204,2025-01-24,20,170,88,2
205,2026-02-13,20,160,88,2
206,2025-07-25,11,134,48,2
207,2025-03-16,2,253,6,1
208,2026-07-19,20,42,88,2
209,2025-11-07,12,245,54,1
210,2026-07-20,13,10,57,2
211,2025-07-18,20,181,86,2
212,2026-08-05,8,275,34,2
213,2025-02-14,15,145,62,2
214,2026-07-11,3,129,9,2
215,2026-07-09,17,164,72,2
216,2025-05-21,9,105,35,1
217,2026-03-27,5,121,18,2
218,2026-05-23,2,197,7,2
219,2025-12-23,10,278,41,3
220,2025-02-28,20,219,87,1
221,2026-01-26,17,84,72,2
222,2026-02-09,10,293,43,2
223,2025-07-03,19,136,82,2
224,2025-03-01,16,210,67,2
225,2025-10-10,15,133,62,2
226,2025-11-21,6,297,24,2
227,2025-08-29,18,23,79,2
228,2026-08-08,8,167,32,2
229,2025-02-01,12,151,54,2
230,2026-01-23,17,111,72,1
231,2026-08-02,3,115,9,2
232,2026-08-13,11,100,47,2
233,2026-01-06,8,210,34,2
234,2026-08-07,15,118,64,1
235,2025-10-21,5,134,20,2
236,2025-07-04,19,102,83,1
237,2025-04-14,18,241,79,2
238,2026-02-02,5,272,20,3
239,2025-12-11,10,173,41,2
240,2026-03-23,15,231,64,2
241,2026-01-24,19,233,82,2
242,2026-06-15,11,289,45,1
243,2025-10-12,7,266,28,2
244,2025-09-23,8,148,32,3
245,2025-07-31,9,50,36,2
246,2026-03-13,7,293,27,1
247,2026-05-21,4,222,17,2
248,2026-06-04,3,81,11,2
249,2026-07-26,17,98,72,1
250,2025-06-05,7,241,27,2
251,2026-03-21,17,2,71,2
252,2026-05-11,19,179,81,2
253,2026-07-11,13,183,57,2
254,2026-03-12,15,127,63,2
255,2025-01-30,16,121,69,2
256,2026-03-12,14,227,59,2
257,2026-02-24,2,230,7,2
258,2025-01-22,20,11,88,1
259,2026-06-16,18,26,74,2
260,2025-08-09,12,212,53,2
261,2025-10-17,16,81,66,2
262,2025-05-15,13,206,57,1
263,2026-08-26,1,49,2,1
264,2025-07-27,10,235,43,2
265,2026-02-08,13,255,55,3
266,2025-08-26,19,204,80,2
267,2025-03-27,7,128,28,2
268,2026-08-02,5,165,18,2
269,2025-08-30,18,161,77,2
270,2025-05-05,1,267,2,2
271,2025-05-01,13,152,55,2
272,2026-06-16,10,191,42,2
273,2025-01-06,5,35,19,2
274,2025-03-10,2,81,8,2
275,2026-02-17,19,189,82,3
276,2025-09-27,7,92,27,2
277,2025-06-22,20,108,87,2
278,2025-02-23,1,40,3,2
279,2026-06-19,16,160,68,2
280,2026-03-29,5,287,19,2
281,2025-08-07,15,218,63,2
282,2025-12-03,7,159,25,2
283,2025-10-08,13,130,55,2
284,2026-01-14,16,20,66,2
285,2026-07-12,2,50,7,2
286,2025-03-04,1,214,4,2
287,2025-01-04,17,89,73,2
288,2025-07-06,3,47,9,1
289,2026-04-17,1,192,2,2
290,2025-07-02,13,147,57,2
291,2026-08-16,3,182,12,2
292,2025-12-17,12,107,53,1
293,2026-08-24,16,240,67,2
294,2025-07-11,11,52,47,3
295,2026-03-22,20,295,87,1
296,2025-04-21,2,260,6,2
297,2025-02-25,5,171,18,3
298,2025-06-26,1,103,2,2
299,2026-05-04,18,3,76,2
300,2025-09-06,16,238,69,1
301,2026-02-08,11,218,47,2
302,2026-05-29,12,175,53,1
303,2026-03-12,11,93,48,2
304,2025-03-26,17,239,70,2
305,2025-01-12,19,233,83,2
306,2025-12-10,17,243,72,1
307,2026-03-22,7,233,29,2
308,2025-01-25,11,152,50,2
309,2025-02-07,2,183,5,2
310,2025-09-07,9,235,37,3
311,2025-03-22,4,263,17,2
312,2026-08-08,14,99,58,2
313,2025-07-10,7,141,28,2
314,2026-03-01,14,10,58,1
315,2026-04-17,8,148,31,2
316,2026-05-26,15,237,62,2
317,2025-08-01,16,43,68,1
318,2026-03-18,20,290,86,2
319,2026-01-23,13,68,57,2
320,2025-06-12,19,92,82,1
321,2026-06-30,11,275,49,2
322,2026-01-28,15,51,62,2
323,2025-01-24,20,210,88,2
324,2026-06-08,1,283,4,1
325,2025-03-08,11,151,46,1
326,2026-04-18,15,91,62,2
327,2025-02-03,15,4,61,1
328,2026-03-26,20,13,88,2
329,2026-03-27,13,262,57,2
330,2025-12-14,6,212,23,2
331,2025-09-24,15,126,64,2
332,2025-01-27,5,148,20,2
333,2025-06-08,16,151,69,1
334,2026-08-22,19,76,82,2
335,2025-11-18,12,257,52,2
336,2025-07-31,11,159,46,2
337,2026-01-08,17,104,71,1
338,2026-08-04,3,229,9,2
339,2025-09-30,15,21,62,2
340,2025-03-04,5,156,20,2
341,2025-07-21,11,38,50,2
342,2026-03-30,19,58,83,1
343,2025-10-05,1,209,3,2
344,2025-12-16,9,128,39,2
345,2025-11-08,6,222,21,2
346,2025-04-16,11,242,49,1
347,2026-06-13,6,167,22,3
348,2025-12-29,5,171,19,1
349,2026-04-13,14,72,59,1
350,2025-11-26,10,13,43,2
351,2026-08-31,6,246,23,2
352,2025-03-02,8,193,33,2
353,2025-06-05,11,212,50,1
354,2025-01-23,18,150,78,2
355,2025-11-25,15,95,62,2
356,2026-03-14,5,211,18,2
357,2025-12-08,16,295,68,2
358,2025-07-15,3,240,13,1
359,2026-02-16,17,11,73,2
360,2025-08-17,14,133,58,2
361,2025-07-05,5,158,18,2
362,2025-08-02,11,118,47,2
363,2025-08-02,13,228,55,2
364,2026-01-02,7,251,25,1
365,2025-01-17,17,234,70,2
366,2025-10-09,13,9,56,1
367,2025-10-28,2,108,5,2
368,2025-07-28,6,255,21,2
369,2025-02-17,2,209,6,2
370,2026-07-04,16,213,69,2
371,2026-01-10,5,277,19,3
372,2025-08-13,19,65,81,2
373,2025-08-20,10,128,41,2
374,2026-01-19,5,217,19,1
375,2025-09-01,1,18,2,2
376,2026-07-13,15,135,65,2
377,2025-12-17,18,50,77,1
378,2025-10-30,4,282,14,2
379,2025-01-18,5,114,20,2
380,2025-06-20,18,272,75,2
381,2025-07-27,5,218,20,2
382,2026-07-24,1,129,1,1
383,2026-02-05,13,215,55,2
384,2026-03-31,4,106,15,2
385,2025-05-08,8,153,34,2
386,2025-10-26,19,250,81,2
387,2026-03-08,8,222,34,2
388,2025-09-15,17,215,72,3
389,2026-05-22,16,300,67,2
390,2026-08-13,2,51,5,2
391,2026-06-20,15,294,64,2
392,2026-02-27,11,150,45,1
393,2025-06-14,11,135,48,2
394,2025-04-03,11,52,47,2
395,2026-01-06,12,225,53,1
396,2026-07-06,17,287,72,2
397,2026-06-30,9,175,36,2
398,2025-02-11,11,227,46,2
399,2025-08-10,8,226,32,2
400,2026-08-18,14,266,58,2
401,2025-03-20,11,183,49,3
402,2026-06-04,19,50,81,1
403,2025-02-24,15,295,63,2
404,2025-03-07,12,76,54,1
405,2025-05-17,20,221,87,3
406,2026-08-07,10,120,43,1
407,2025-03-07,12,37,51,2
408,2025-04-07,4,46,16,3
409,2025-09-16,12,221,52,2
410,2026-06-21,11,49,48,2
411,2025-01-13,6,271,21,2
412,2025-04-10,18,177,75,1
413,2025-02-01,6,228,22,2
414,2026-05-25,19,52,81,2
415,2025-03-09,15,284,61,2
416,2025-04-04,16,267,66,1
417,2025-10-17,18,103,79,2
418,2026-07-29,16,165,66,2
419,2025-02-19,10,161,42,2
420,2026-06-21,14,261,60,1
421,2025-07-28,8,38,33,2
422,2025-12-05,10,124,41,3
423,2026-08-08,20,217,86,1
424,2025-09-17,9,250,36,2
425,2025-12-02,3,275,10,2
426,2025-07-26,4,203,14,3
427,2025-07-08,8,199,31,2
428,2026-05-31,5,22,19,1
429,2025-07-25,6,237,23,3
430,2025-03-07,5,259,19,2
431,2025-10-22,3,271,10,2
432,2025-11-26,17,87,70,2
433,2025-08-18,13,62,57,1
434,2026-02-01,19,145,83,2
435,2026-07-04,16,233,67,1
436,2026-03-19,6,11,23,1
437,2025-12-28,8,65,34,2
438,2025-08-11,17,126,71,1
439,2025-05-25,10,202,42,2
440,2026-01-31,15,106,61,2
441,2025-09-09,14,240,59,1
442,2025-04-10,20,19,88,1
443,2025-11-17,2,47,7,3
444,2026-04-03,20,299,86,2
445,2026-06-30,6,61,24,3
446,2026-04-01,8,76,31,2
447,2026-03-28,6,186,21,2
448,2025-07-01,3,36,11,2
449,2026-08-28,20,9,87,2
450,2025-02-23,16,86,68,2
451,2025-02-02,3,283,11,2
452,2026-02-02,7,195,28,2
453,2026-07-20,5,134,19,2
454,2025-03-18,5,125,18,2
455,2025-06-09,1,37,3,2
456,2025-08-04,14,120,60,2
457,2025-07-10,16,254,67,2
458,2025-05-28,6,135,22,1
459,2026-02-27,6,152,24,2
460,2025-03-05,10,34,42,2
461,2025-03-09,11,186,49,2
462,2025-12-28,19,22,81,2
463,2025-11-21,14,72,58,2
464,2025-04-08,19,112,81,2
465,2026-05-27,8,250,32,2
466,2025-08-29,16,73,68,2
467,2026-06-27,20,67,84,2
468,2025-12-01,14,108,58,1
469,2025-05-11,11,100,50,3
470,2026-04-27,8,289,34,1
471,2025-07-17,3,200,12,1
472,2025-05-30,20,288,87,1
473,2026-06-21,10,100,41,1
474,2026-01-13,1,41,4,2
475,2025-10-10,4,234,16,2
476,2026-07-18,11,193,50,2
477,2026-05-24,17,68,70,2
478,2026-01-01,8,185,31,2
479,2025-08-01,5,46,20,2
480,2025-02-13,2,246,6,2
481,2025-01-25,1,253,3,1
482,2025-08-06,17,204,71,2
483,2025-12-09,6,132,22,2
484,2025-02-12,7,58,26,2
485,2026-01-05,7,156,29,2
486,2025-07-31,7,171,26,2
487,2025-01-01,8,55,31,1
488,2026-08-05,10,196,44,3
489,2026-03-10,7,98,30,1
490,2025-09-27,4,73,16,2
491,2026-07-25,8,297,34,2
492,2026-01-22,7,204,25,2
493,2025-10-01,10,104,44,2
494,2025-08-26,18,251,79,1
495,2026-01-16,18,192,75,1
496,2026-04-24,19,191,83,3
497,2025-03-30,14,222,59,2
498,2025-05-29,2,260,7,2
499,2025-04-17,4,267,14,2
500,2026-02-07,12,268,54,2
501,2025-05-28,1,254,1,3
502,2025-01-17,4,13,15,2
503,2026-01-02,15,217,61,1
504,2026-08-31,10,245,44,2
505,2025-01-28,19,252,82,2
506,2025-09-05,15,173,64,2
507,2026-06-03,5,15,20,2
508,2026-06-14,9,61,39,2
509,2025-06-30,8,199,31,1
510,2025-04-14,8,60,34,2
511,2025-04-19,1,279,3,2
512,2025-09-27,3,45,9,1
513,2026-01-18,7,280,28,2
514,2025-01-12,10,201,42,2
515,2025-09-07,10,164,42,1
516,2026-07-21,4,199,15,2
517,2025-03-16,3,263,12,2
518,2026-03-19,9,31,38,2
519,2026-02-21,5,261,19,2
520,2026-03-04,14,16,60,2
521,2025-11-07,9,175,38,1
522,2025-05-21,18,294,79,2
523,2026-09-01,9,148,37,2
524,2025-07-12,9,218,39,1
525,2025-07-29,18,165,78,1
526,2025-07-07,7,173,29,1
527,2025-09-16,5,37,19,2
528,2025-09-30,19,102,83,2
529,2025-02-12,4,28,16,1
530,2026-08-04,14,21,58,2
531,2025-08-14,14,119,58,2
532,2026-07-09,6,105,24,2
533,2025-08-15,4,209,15,2
534,2026-04-02,14,198,60,2
535,2026-01-25,5,197,20,2
536,2025-07-30,17,227,73,2
537,2025-11-18,13,112,55,2
538,2026-02-03,3,12,12,2
539,2025-09-24,8,188,33,2
540,2025-02-19,2,187,8,1
541,2025-03-23,18,129,74,2
542,2025-04-05,6,119,21,2
543,2025-10-03,3,52,9,1
544,2025-07-11,6,274,22,2
545,2025-05-19,17,202,70,2
546,2025-02-13,4,83,15,2
547,2025-12-29,17,267,73,1
548,2026-01-27,10,212,41,2
549,2025-11-06,15,72,65,2
550,2025-07-29,15,191,64,2
551,2025-03-21,15,222,64,2
552,2025-06-19,7,260,27,2
553,2025-08-12,2,261,5,2
554,2026-06-14,10,27,43,2
555,2026-03-27,5,170,19,1
556,2025-01-13,2,156,5,3
557,2026-08-05,5,281,19,2
558,2025-06-19,3,240,10,3
559,2026-07-26,16,296,68,2
560,2025-01-23,20,116,85,2
561,2026-07-23,9,76,35,2
562,2026-03-06,14,205,60,2
563,2026-03-19,2,208,8,2
564,2025-09-07,14,147,58,2
565,2025-01-09,4,43,14,2
566,2025-06-19,12,21,51,1
567,2025-10-01,13,56,56,2
568,2026-06-12,20,81,86,2
569,2026-02-15,12,151,53,2
570,2026-08-25,2,31,5,1
571,2026-08-17,10,164,43,2
572,2025-06-10,16,187,66,2
573,2025-12-01,11,69,48,1
574,2025-02-13,16,76,68,1
575,2025-01-10,6,20,24,2
576,2025-10-08,5,259,19,2
577,2025-10-19,18,23,77,2
578,2025-09-29,19,231,81,2
579,2026-06-28,13,3,56,2
580,2026-03-03,9,280,39,2
581,2025-12-03,8,288,34,2
582,2025-09-22,1,67,1,2
583,2026-07-16,10,278,43,2
584,2026-04-08,9,59,36,2
585,2025-03-30,18,10,76,3
586,2025-12-26,18,246,75,2
587,2026-05-22,19,117,80,2
588,2026-03-02,1,174,3,1
589,2026-05-22,19,243,81,2
590,2025-02-26,10,55,41,3
591,2025-03-18,9,211,37,3
592,2025-12-02,1,146,1,2
593,2025-09-28,12,49,51,1
594,2025-11-01,18,280,78,3
595,2025-02-23,3,138,11,2
596,2026-02-20,2,185,8,2
597,2025-05-10,1,112,4,2
598,2026-03-17,18,31,75,2
599,2026-05-25,4,131,17,2
600,2026-08-18,5,95,20,2
601,2025-10-11,13,112,55,3
602,2025-04-20,4,212,14,2
603,2025-07-31,7,75,30,2
604,2025-03-04,14,82,59,1
605,2025-10-22,7,57,28,2
606,2026-04-06,12,115,53,2
607,2026-01-29,1,249,2,2
608,2025-11-14,9,265,40,1
609,2025-09-16,4,145,15,1
610,2026-03-06,11,284,50,2
611,2026-08-24,14,140,59,2
612,2026-01-01,11,173,45,2
613,2025-05-21,3,290,9,2
614,2025-08-15,4,70,17,1
615,2025-08-03,9,231,40,2
616,2026-07-09,2,142,8,2
617,2025-10-12,17,295,71,2
618,2025-06-10,9,89,36,2
619,2025-05-18,2,116,8,2
620,2025-01-08,6,194,24,2
621,2025-08-05,4,81,14,2
622,2026-08-04,15,273,62,2
623,2026-01-20,7,152,28,1
624,2026-08-18,4,203,17,1
625,2026-06-05,5,26,18,1
626,2025-04-06,11,276,49,2
627,2026-03-29,3,76,13,2
628,2025-01-12,11,17,45,1
629,2025-04-11,3,247,10,2
630,2026-06-01,11,59,48,2
631,2025-03-20,10,268,44,2
632,2025-02-20,15,23,61,2
633,2026-01-22,17,208,71,2
634,2025-11-14,12,188,51,1
635,2025-12-30,20,236,88,1
636,2025-03-08,17,65,71,2
637,2025-09-25,18,3,78,2
638,2026-02-14,7,33,29,2
639,2025-11-01,6,209,23,2
640,2025-09-15,7,159,25,2
641,2025-07-11,12,22,53,2
642,2026-01-22,1,241,1,2
643,2026-06-16,18,257,79,2
644,2025-10-26,2,30,7,2
645,2025-05-25,4,114,17,1
646,2026-07-12,17,64,73,2
647,2025-11-27,7,208,26,3
648,2026-05-24,3,259,9,1
649,2025-07-09,17,6,70,2
650,2025-01-14,4,269,15,2
651,2025-12-21,7,189,28,2
652,2026-07-07,17,56,72,2
653,2026-06-02,6,111,22,2
654,2025-05-14,9,151,35,2
655,2025-05-12,17,60,70,2
656,2025-01-28,13,46,56,2
657,2026-08-09,18,224,75,2
658,2025-01-06,8,284,33,1
659,2025-08-06,5,24,19,2
660,2026-01-13,20,260,84,3
661,2026-04-09,19,9,81,3
662,2026-01-20,19,294,83,1
663,2025-10-30,15,268,61,2
664,2025-11-14,10,257,41,2
665,2026-08-01,5,207,19,2
666,2026-04-14,5,61,19,1
667,2026-01-06,17,167,71,1
668,2025-05-26,14,61,60,3
669,2026-03-21,18,76,79,1
670,2025-08-10,12,38,54,2
671,2025-06-02,9,278,38,2
672,2025-02-26,13,33,56,2
673,2025-02-27,3,271,12,2
674,2025-07-20,14,268,58,1
675,2026-03-28,9,254,35,2
676,2025-12-19,5,71,20,2
677,2026-08-02,13,83,55,1
678,2025-07-19,17,35,72,2
679,2025-03-23,4,279,17,2
680,2025-09-01,4,217,15,1
681,2025-03-18,7,230,26,1
682,2026-02-10,11,73,45,2
683,2025-09-14,8,105,34,1
684,2025-06-15,6,8,21,2
685,2026-03-13,16,120,69,1
686,2025-08-23,14,174,58,2
687,2025-03-04,4,245,17,2
688,2025-12-24,6,115,22,2
689,2025-09-29,18,54,77,2
690,2026-09-01,19,234,83,3
691,2025-05-10,18,82,74,1
692,2026-06-04,8,129,34,3
693,2025-03-09,20,284,88,2
694,2025-07-03,15,183,61,2
695,2026-05-22,20,237,84,2
696,2026-08-14,5,265,19,2
697,2025-09-01,13,96,57,2
698,2025-05-08,19,16,80,2
699,2026-08-31,17,236,73,2
700,2025-10-03,18,295,79,1
701,2025-12-12,11,273,46,1
702,2025-08-17,17,53,72,1
703,2026-06-16,12,251,51,2
704,2026-08-14,20,263,84,2
705,2026-08-19,7,171,29,2
706,2026-04-10,3,151,11,2
707,2025-04-10,14,269,59,2
708,2026-04-13,2,91,7,2
709,2026-01-05,16,140,66,2
710,2026-07-06,19,231,83,2
711,2026-08-26,18,174,79,2
712,2025-01-27,3,171,12,2
713,2025-03-16,12,119,52,3
714,2025-12-15,7,166,25,2
715,2026-06-17,10,146,43,2
716,2025-06-03,15,212,63,1
717,2025-03-13,12,108,53,2
718,2025-01-08,5,74,18,2
719,2025-09-26,17,213,71,2
720,2026-04-12,13,45,57,2
721,2026-05-11,18,137,79,2
722,2025-09-04,13,284,57,1
723,2026-08-02,7,112,28,1
724,2026-03-14,14,52,58,1
725,2025-09-08,6,187,23,1
726,2025-08-13,16,253,69,2
727,2026-03-26,15,299,65,2
728,2025-08-08,17,58,73,2
729,2025-02-25,5,204,19,2
730,2025-08-04,17,179,73,1
731,2025-01-18,2,104,5,2
732,2026-08-08,12,108,52,1
733,2025-04-05,6,13,23,2
734,2025-04-06,7,256,30,2
735,2025-06-11,5,107,18,2
736,2025-04-18,4,207,17,2
737,2026-03-25,11,271,50,3
738,2026-01-25,19,221,81,2
739,2025-10-16,17,77,70,2
740,2025-06-03,1,69,3,2
741,2026-08-21,19,66,82,2
742,2025-07-15,4,142,15,2
743,2025-05-25,3,14,10,3
744,2025-08-25,12,246,52,2
745,2026-02-27,14,12,59,2
746,2025-10-20,6,114,21,2
747,2026-03-10,16,189,69,1
748,2026-03-12,12,146,53,1
749,2025-01-03,9,223,38,2
750,2025-08-24,1,284,4,2
751,2025-06-01,12,55,54,2
752,2026-02-23,7,22,29,2
753,2025-10-10,10,272,43,2
754,2025-12-24,19,94,83,2
755,2025-07-23,4,171,14,3
756,2026-03-24,9,202,38,1
757,2025-02-28,16,17,66,3
758,2026-04-03,3,26,9,2
759,2025-01-04,19,294,82,2
760,2026-02-09,19,255,82,1
761,2025-10-27,14,285,59,2
762,2026-03-24,8,166,32,2
763,2025-01-27,6,72,24,2
764,2025-06-12,3,29,12,1
765,2026-01-14,4,121,14,1
766,2026-07-14,10,37,41,3
767,2026-03-27,12,293,52,3
768,2026-03-05,9,24,39,2
769,2025-06-19,6,139,24,2
770,2025-05-01,2,118,7,2
771,2026-05-15,16,91,67,2
772,2025-10-17,10,216,41,1
773,2025-06-06,3,6,12,2
774,2025-10-09,19,209,81,2
775,2025-08-22,18,257,79,2
776,2025-11-04,1,46,1,2
777,2025-04-21,7,209,30,2
778,2025-06-19,13,12,56,2
779,2025-07-17,11,17,50,1
780,2025-05-10,16,265,66,1
781,2026-07-19,1,237,4,2
782,2026-03-09,13,280,56,2
783,2025-11-16,10,291,44,1
784,2025-04-24,11,26,50,2
785,2025-02-15,12,196,52,2
786,2026-03-08,8,107,34,2
787,2026-09-01,1,13,1,1
788,2026-07-25,13,141,57,2
789,2025-12-15,12,227,54,2
790,2026-03-12,7,15,29,2
791,2025-12-22,4,172,17,2
792,2025-07-05,6,151,22,3
793,2026-02-04,11,35,49,2
794,2025-09-15,3,258,11,2
795,2025-05-11,16,287,69,2
796,2026-04-02,15,140,61,2
797,2025-09-15,2,271,6,2
798,2025-09-29,12,189,52,3
799,2026-05-31,18,120,79,2
800,2025-07-21,15,75,63,1
801,2025-10-20,5,230,20,1
802,2025-02-01,6,87,24,2
803,2025-02-12,20,127,87,2
804,2025-12-05,9,118,39,1
805,2025-10-21,15,259,64,2
806,2026-01-04,9,131,37,2
807,2025-11-25,18,8,74,2
808,2026-08-05,18,198,79,2
809,2025-04-18,16,246,67,2
810,2025-05-16,9,138,36,3
811,2025-04-26,8,78,31,3
812,2025-05-30,2,86,6,2
813,2026-01-31,1,268,1,2
814,2025-07-13,1,152,1,2
815,2025-02-18,8,262,31,1
