id_detalle_venta,cantidad,precio_unitario,subtotal,VENTA_id_venta,PRODUCTO_id_producto
105,4,250.31,1001.24,42,71
106,3,24.11,72.33,42,20
107,6,93.43,560.58,42,103
108,5,60.07,300.35,42,19
109,1,191.71,191.71,43,10
110,4,250.7,1002.8,43,23
111,6,5.64,33.84,43,13
112,6,144.93,869.58,43,63
113,3,163.75,491.25,44,107
114,1,89.16,89.16,44,103
115,6,180.25,1081.5,44,111
116,5,58.24,291.2,44,90
117,6,111.59,669.54,45,81
118,6,121.5,729,45,109
119,1,79.62,79.62,45,68
120,2,73.55,147.1,45,54
121,2,138.8,277.6,46,50
122,1,131.25,131.25,47,25
123,3,87.4,262.2,48,91
124,2,248.28,496.56,49,12
125,6,25.18,151.08,49,20
126,1,178.79,178.79,49,89
127,5,114.8,574,50,31
128,2,62.11,124.22,50,19
129,4,211.57,846.28,51,112
130,4,165.9,663.6,51,30
131,1,43.81,43.81,51,40
132,3,95.17,285.51,52,103
133,4,25.31,101.24,52,14
134,5,178.48,892.4,53,10
135,1,248.68,248.68,54,76
136,4,250.7,1002.8,54,23
137,1,210.97,210.97,55,99
138,1,20.04,20.04,55,18
139,2,152.3,304.6,55,27
140,1,57.04,57.04,56,114
141,6,32.72,196.32,56,85
142,5,152.68,763.4,56,60
143,6,204.45,1226.7,56,70
144,5,221.46,1107.3,57,55
145,4,14.29,57.16,57,21
146,6,83.11,498.66,57,91
147,3,87.4,262.2,58,91
148,4,238,952,58,106
149,3,212.08,636.24,58,73
150,1,164.53,164.53,58,107
151,4,120.14,480.56,59,2
152,6,24.74,148.44,59,20
153,5,202.39,1011.95,59,1
154,6,213.86,1283.16,60,70
155,4,119.37,477.48,60,17
156,3,247.67,743.01,61,76
157,2,198.98,397.96,61,46
158,6,143.19,859.14,62,49
159,5,42.96,214.8,63,4
160,3,151.77,455.31,64,27
161,4,11.07,44.28,65,84
162,3,95.04,285.12,66,47
163,3,262.78,788.34,66,88
164,3,223.45,670.35,66,95
165,4,26.96,107.84,67,53
166,1,106.26,106.26,67,48
167,3,200.93,602.79,67,79
168,6,213.86,1283.16,67,70
169,4,76.46,305.84,68,54
170,6,141.64,849.84,68,63
171,5,42.33,211.65,69,44
172,6,67.05,402.3,69,64
173,1,138.3,138.3,70,77
174,4,76.75,307,71,68
175,2,153.08,306.16,71,74
176,5,260.3,1301.5,71,45
177,4,228.62,914.48,72,112
178,6,199.58,1197.48,72,51
179,2,26.23,52.46,73,97
180,4,206.82,827.28,73,29
181,4,211.57,846.28,74,112
182,3,244.34,733.02,75,106
183,3,71.46,214.38,75,105
184,3,44.03,132.09,75,4
185,6,22.51,135.06,75,52
186,3,233.26,699.78,76,92
187,5,72.96,364.8,76,105
188,1,126.46,126.46,76,109
189,5,200.31,1001.55,77,70
190,1,164.53,164.53,78,107
191,1,13.51,13.51,78,21
192,5,24,120,78,100
193,6,173.54,1041.24,78,98
194,2,72.53,145.06,79,54
195,1,237.95,237.95,79,69
196,1,121.4,121.4,80,102
197,2,78.59,157.18,81,35
198,3,229.62,688.86,82,112
199,2,72.32,144.64,82,105
200,2,99.54,199.08,82,48
201,1,212.87,212.87,82,72
202,5,66.6,333,83,96
203,1,138.23,138.23,83,93
204,6,106.26,637.56,84,48
205,2,72.46,144.92,84,105
206,2,29.64,59.28,84,66
207,3,69.16,207.48,85,105
208,3,116.86,350.58,85,2
209,1,112.29,112.29,85,81
210,6,178.57,1071.42,86,98
211,2,42.33,84.66,87,44
212,5,156.58,782.9,87,24
213,4,26.78,107.12,88,14
214,2,239.29,478.58,88,71
215,4,59.49,237.96,88,19
216,2,47.14,94.28,88,40
217,1,23.06,23.06,89,100
218,3,27.28,81.84,89,53
219,2,265.75,531.5,90,88
220,1,206.82,206.82,91,29
221,1,202.39,202.39,92,1
222,3,59.04,177.12,93,90
223,3,181.43,544.29,93,10
224,4,217.71,870.84,93,29
225,2,26.96,53.92,93,53
226,2,56.26,112.52,94,5
227,1,218.11,218.11,94,56
228,2,177.55,355.1,94,98
229,2,158.36,316.72,95,30
230,1,72.53,72.53,95,64
231,2,94.82,189.64,95,57
232,1,59.61,59.61,95,90
233,5,54.04,270.2,96,61
234,3,241.31,723.93,96,108
235,4,240.23,960.92,97,69
236,1,46.57,46.57,98,11
237,1,237.95,237.95,98,69
238,5,99.68,498.4,98,65
239,4,113.83,455.32,98,82
240,6,46.88,281.28,99,4
241,3,242.72,728.16,99,80
242,2,135.8,271.6,99,8
243,6,248.28,1489.68,99,12
244,5,251.34,1256.7,100,28
245,5,73.44,367.2,100,64
246,6,21.66,129.96,100,52
247,6,177.55,1065.3,100,98
248,3,198.02,594.06,101,70
249,3,44.51,133.53,101,11
250,2,217.65,435.3,102,55
251,1,203.19,203.19,102,79
252,5,120,600,103,31
253,5,241.54,1207.7,104,80
254,1,160.84,160.84,105,33
255,3,165.9,497.7,105,30
256,1,242.72,242.72,105,80
257,3,178.48,535.44,106,10
258,5,170.44,852.2,106,87
259,5,241.64,1208.2,106,62
260,3,179.66,538.98,106,75
261,4,231.66,926.64,107,80
262,5,259.85,1299.25,107,58
263,6,223.6,1341.6,108,16
264,4,69.35,277.4,108,105
265,2,20.86,41.72,108,67
266,3,13.19,39.57,108,21
267,2,207.98,415.96,109,95
268,5,257.05,1285.25,110,12
269,3,55.91,167.73,111,110
270,1,213.63,213.63,112,29
271,3,124.51,373.53,112,102
272,4,158.36,633.44,112,30
273,2,203.92,407.84,113,70
274,2,177.39,354.78,113,98
275,6,24.11,144.66,113,20
276,4,66.6,266.4,113,96
277,3,130.82,392.46,114,50
278,3,114.8,344.4,114,31
279,5,245.86,1229.3,114,28
280,5,151.22,756.1,115,27
281,1,19.98,19.98,116,52
282,6,191.33,1147.98,117,10
283,4,14,56,117,21
284,3,87.98,263.94,117,57
285,6,12.79,76.74,118,36
286,2,135.8,271.6,118,8
287,4,154.64,618.56,118,49
288,6,95.38,572.28,119,57
289,4,26.23,104.92,120,97
290,4,160.92,643.68,121,24
291,5,254.49,1272.45,122,71
292,2,231.97,463.94,122,101
293,4,25.98,103.92,122,14
294,2,209.26,418.52,122,29
295,1,241.98,241.98,123,45
296,2,255.16,510.32,123,23
297,1,57.2,57.2,123,32
298,6,161.55,969.3,124,87
299,3,251.21,753.63,125,58
300,6,198.93,1193.58,126,46
301,4,73.4,293.6,126,35
302,3,53.52,160.56,126,61
303,6,211.55,1269.3,126,95
304,6,91.94,551.64,127,7
305,5,19.93,99.65,127,18
306,6,21.51,129.06,128,67
307,4,33.23,132.92,128,85
308,3,247.12,741.36,128,92
309,5,254.49,1272.45,128,71
310,6,141.64,849.84,129,63
311,5,135.8,679,129,8
312,1,22.81,22.81,130,20
313,6,148.51,891.06,130,74
314,4,19.78,79.12,130,86
315,2,11.07,22.14,131,84
316,4,260.3,1041.2,131,45
317,4,218,872,131,29
318,3,5.57,16.71,131,13
319,1,47.14,47.14,132,40
320,4,256.47,1025.88,133,12
321,4,156.39,625.56,134,24
322,4,247.64,990.56,135,92
323,6,163.25,979.5,135,87
324,2,120.79,241.58,135,2
325,4,136.77,547.08,136,50
326,2,239.69,479.38,136,69
327,5,211.3,1056.5,136,73
328,2,30.46,60.92,137,66
329,4,242.93,971.72,137,58
330,3,194.3,582.9,137,79
331,5,41.41,207.05,137,11
332,2,236.58,473.16,138,101
333,1,126.22,126.22,138,38
334,1,248.11,248.11,138,45
335,2,96.6,193.2,139,103
336,2,204,408,139,95
337,1,213.36,213.36,140,70
338,2,25.06,50.12,140,53
339,6,121,726,140,109
340,1,235.14,235.14,140,28
341,2,12.89,25.78,141,36
342,4,201.49,805.96,142,79
343,1,166.52,166.52,142,98
344,4,51.45,205.8,142,114
345,2,150.33,300.66,143,27
346,6,213.6,1281.6,143,70
347,5,148.51,742.55,143,74
348,6,78.5,471,143,35
349,5,52.77,263.85,144,61
350,1,231.35,231.35,145,71
351,2,46.77,93.54,145,40
352,6,42,252,146,15
353,5,34.35,171.75,146,85
354,6,5.08,30.48,147,13
355,3,122.23,366.69,147,102
356,4,200.31,801.24,147,70
357,3,51.8,155.4,148,61
358,5,162.2,811,148,98
359,1,21.09,21.09,148,18
360,5,124.42,622.1,148,109
361,2,44.6,89.2,149,11
362,3,22.13,66.39,150,86
363,1,19.02,19.02,151,18
364,3,62.88,188.64,151,96
365,6,212.42,1274.52,151,55
366,2,237.02,474.04,152,108
367,1,259.09,259.09,152,58
368,5,246.97,1234.85,152,71
369,4,76.06,304.24,153,54
370,4,147.8,591.2,153,83
371,3,89.16,267.48,154,103
372,1,201.8,201.8,154,70
373,6,191.42,1148.52,155,1
374,3,43.28,129.84,156,44
375,4,103.33,413.32,156,65
376,5,22.43,112.15,156,100
377,2,133.62,267.24,157,50
378,6,243.36,1460.16,158,56
379,3,239.69,719.07,158,69
380,5,23.52,117.6,158,20
381,1,152.24,152.24,158,63
382,6,28.27,169.62,159,53
383,5,251.94,1259.7,159,71
384,4,136.77,547.08,159,50
385,6,19.81,118.86,160,18
386,4,135.8,543.2,160,8
387,3,12.93,38.79,161,41
388,6,230.62,1383.72,161,56
389,1,42.72,42.72,161,11
390,3,149.21,447.63,161,27
391,1,231.35,231.35,162,71
392,5,231.35,1156.75,163,71
393,5,218.2,1091,163,55
394,3,34.58,103.74,163,85
395,5,211.57,1057.85,164,112
396,2,160.84,321.68,164,33
397,4,154.64,618.56,164,49
398,6,251.39,1508.34,165,58
399,1,240.87,240.87,165,104
400,1,174.32,174.32,166,33
401,3,204.45,613.35,166,70
402,4,162.93,651.72,166,37
403,2,210.97,421.94,166,99
404,2,21.31,42.62,167,52
405,5,152.24,761.2,167,63
406,3,219.14,657.42,167,72
407,5,65.49,327.45,167,42
408,5,199.03,995.15,168,73
409,6,268.43,1610.58,169,88
410,3,52.05,156.15,169,61
411,4,23.23,92.92,169,20
412,2,56.14,112.28,169,32
413,2,42.82,85.64,170,15
414,3,199.5,598.5,170,95
415,6,98.05,588.3,170,103
416,1,43.27,43.27,170,4
417,3,83.36,250.08,171,7
418,1,220.59,220.59,172,56
419,1,239.1,239.1,172,108
420,5,130.82,654.1,173,50
421,3,24.74,74.22,173,20
422,6,34.35,206.1,173,85
423,6,170.24,1021.44,174,10
424,6,20.07,120.42,174,86
425,1,12.5,12.5,174,41
426,2,180.94,361.88,174,75
427,4,253.48,1013.92,175,23
428,6,118.38,710.28,175,81
429,1,42,42,175,15
430,3,199.58,598.74,175,51
431,5,248.24,1241.2,176,101
432,5,45.81,229.05,176,4
433,6,59.63,357.78,176,19
434,3,138.8,416.4,176,50
435,5,193.32,966.6,177,79
436,3,240.61,721.83,177,76
437,1,32.51,32.51,178,66
438,3,85.32,255.96,179,57
439,1,251.21,251.21,180,58
440,3,177.39,532.17,180,98
441,3,25.34,76.02,181,53
442,4,4.11,16.44,182,43
443,5,146.65,733.25,182,60
444,5,99.68,498.4,183,65
445,4,222.12,888.48,183,101
446,6,137.63,825.78,183,25
447,3,57.78,173.34,183,113
448,1,107.08,107.08,184,48
449,4,133.62,534.48,184,50
450,1,160.92,160.92,184,24
451,2,195.06,390.12,184,34
452,4,244.34,977.36,185,106
453,6,19.98,119.88,185,18
454,1,114.8,114.8,185,31
455,5,118.04,590.2,186,2
456,2,53.65,107.3,187,114
457,5,52,260,188,110
458,4,129.48,517.92,189,109
459,1,137.63,137.63,189,25
460,6,21.37,128.22,190,67
461,5,146.11,730.55,190,27
462,1,189.08,189.08,190,111
463,3,21.28,63.84,191,18
464,3,120,360,191,31
465,4,193.32,773.28,192,79
466,6,166.85,1001.1,193,24
467,6,19.81,118.86,193,18
468,6,186.68,1120.08,193,46
469,5,101.75,508.75,193,65
470,5,63.39,316.95,194,39
471,2,178.79,357.58,194,89
472,6,151.77,910.62,195,27
473,3,57.02,171.06,195,114
474,4,138.23,552.92,195,93
475,5,213.63,1068.15,196,29
476,5,124.51,622.55,196,102
477,3,171.39,514.17,196,98
478,6,177.89,1067.34,197,9
479,1,237.1,237.1,197,88
480,1,72.32,72.32,198,105
481,1,133.1,133.1,198,109
482,3,249.84,749.52,199,101
483,3,59.61,178.83,200,90
484,2,44.6,89.2,200,11
485,2,158.36,316.72,200,30
486,1,240.14,240.14,201,88
487,4,242.52,970.08,202,101
488,5,242.94,1214.7,202,45
489,3,251.37,754.11,202,69
490,3,146.09,438.27,202,8
491,5,175.05,875.25,203,89
492,3,181.43,544.29,203,10
493,1,251.34,251.34,203,28
494,1,212.65,212.65,203,72
495,3,21.11,63.33,204,18
496,1,113.61,113.61,204,82
497,2,241.68,483.36,204,88
498,4,143.12,572.48,205,77
499,2,26.58,53.16,206,53
500,1,203.96,203.96,207,29
501,1,107.3,107.3,208,17
502,1,249.63,249.63,208,80
503,1,235.45,235.45,209,112
504,2,95.38,190.76,209,57
505,6,183.54,1101.24,210,51
506,4,124.51,498.04,210,102
507,5,213.63,1068.15,210,29
508,2,33.77,67.54,210,85
509,2,43.27,86.54,211,4
510,1,256.97,256.97,212,92
511,5,132.77,663.85,213,109
512,4,5.06,20.24,213,13
513,3,80.96,242.88,214,68
514,3,46.57,139.71,214,11
515,5,171.22,856.1,214,107
516,4,12.73,50.92,215,36
517,2,57.76,115.52,216,5
518,1,258.16,258.16,216,45
519,3,110.69,332.07,217,6
520,3,180.56,541.68,217,26
521,5,52,260,217,110
522,4,101.75,407,217,65
523,2,77.64,155.28,218,35
524,4,160.46,641.84,218,27
525,2,236.52,473.04,218,12
526,6,243.36,1460.16,218,56
527,1,213.36,213.36,219,70
528,3,77.23,231.69,219,54
529,6,195.71,1174.26,219,51
530,4,249.63,998.52,220,80
531,4,86.85,347.4,220,47
532,5,115.63,578.15,220,2
533,6,112.53,675.18,220,31
534,3,57.02,171.06,221,114
535,6,31.13,186.78,221,85
536,3,68.51,205.53,222,64
537,6,240.4,1442.4,222,56
538,5,25.06,125.3,222,53
539,1,55.84,55.84,223,61
540,5,259.33,1296.65,224,23
541,2,5.06,10.12,225,13
542,5,50.02,250.1,225,61
543,6,147.35,884.1,225,60
544,1,83.36,83.36,225,7
545,3,162.46,487.38,226,98
546,3,43.15,129.45,226,44
547,4,159.24,636.96,227,49
548,1,198.98,198.98,228,46
549,3,228.62,685.86,228,112
550,5,171.5,857.5,228,98
551,3,238.84,716.52,228,56
552,2,176.37,352.74,229,111
553,4,22.78,91.12,230,67
554,1,72.53,72.53,231,54
555,5,237.95,1189.75,231,69
556,4,5.64,22.56,231,13
557,6,233.93,1403.58,231,72
558,3,57.51,172.53,232,5
559,2,177.31,354.62,232,75
560,6,253.48,1520.88,233,23
561,2,253.45,506.9,234,28
562,4,244.26,977.04,234,23
563,4,248.48,993.92,235,92
564,1,105.95,105.95,236,6
565,1,121.4,121.4,237,102
566,5,55.51,277.55,238,32
567,2,12.79,25.58,238,36
568,6,242.72,1456.32,238,80
569,1,84.16,84.16,239,7
570,6,75.4,452.4,240,68
571,5,5.06,25.3,240,13
572,5,61.73,308.65,240,19
573,1,83.36,83.36,240,7
574,5,56.09,280.45,241,5
575,3,19.93,59.79,241,18
576,2,196.59,393.18,242,1
577,2,106.79,213.58,242,65
578,1,66.13,66.13,242,64
579,6,247.12,1482.72,242,92
580,2,234.17,468.34,243,80
581,1,187.11,187.11,243,10
582,3,148.6,445.8,243,37
583,6,12.42,74.52,244,41
584,5,41.67,208.35,245,15
585,5,185.06,925.3,245,78
586,1,110.24,110.24,246,17
587,6,148.6,891.6,246,37
588,3,124.42,373.26,247,109
589,1,206.82,206.82,247,29
590,1,86.29,86.29,248,91
591,6,171.7,1030.2,248,30
592,6,6.19,37.14,248,94
593,3,236.56,709.68,248,28
594,2,31.13,62.26,249,85
595,3,41.41,124.23,250,11
596,2,51.33,102.66,250,61
597,4,78.39,313.56,251,54
598,6,24.11,144.66,251,20
599,2,218.85,437.7,252,95
600,3,177.25,531.75,252,10
601,1,177.89,177.89,253,9
602,3,196.06,588.18,254,73
603,6,100.24,601.44,254,6
604,4,232.01,928.04,254,12
605,6,170.24,1021.44,254,10
606,5,179.39,896.95,255,89
607,3,193.43,580.29,255,111
608,4,240.23,960.92,256,69
609,6,73.33,439.98,257,59
610,1,122.75,122.75,257,102
611,3,241.68,725.04,258,88
612,4,26.96,107.84,259,53
613,6,172.36,1034.16,259,30
614,1,248.59,248.59,260,58
615,5,229.77,1148.85,260,12
616,2,241.36,482.72,261,80
617,1,221.76,221.76,261,29
618,6,47.14,282.84,262,40
619,6,211.56,1269.36,262,95
620,6,21.51,129.06,262,52
621,4,249.2,996.8,263,106
622,5,77.46,387.3,263,59
623,2,182.06,364.12,264,1
624,4,232.31,929.24,264,92
625,5,101.65,508.25,264,22
626,3,191.33,573.99,264,10
627,2,44.6,89.2,265,11
628,3,127.19,381.57,266,38
629,2,12.89,25.78,266,36
630,6,65.64,393.84,266,96
631,1,51.74,51.74,266,32
632,2,72.94,145.88,267,105
633,1,41.41,41.41,267,11
634,4,257.05,1028.2,267,12
635,3,34.58,103.74,267,85
636,6,241.68,1450.08,268,45
637,1,218.11,218.11,269,56
638,1,218.85,218.85,269,108
639,4,205.33,821.32,269,95
640,6,56.14,336.84,269,32
641,2,198.02,396.04,270,70
642,6,23.25,139.5,270,100
643,5,239.6,1198,270,56
644,4,95.88,383.52,270,22
645,5,12.19,60.95,271,36
646,3,158.36,475.08,271,30
647,5,109.18,545.9,271,48
648,2,254.23,508.46,272,71
649,2,201.49,402.98,272,79
650,5,214.46,1072.3,272,73
651,6,84.16,504.96,272,7
652,1,141.64,141.64,273,63
653,5,242.72,1213.6,273,80
654,2,203.96,407.92,274,29
655,3,250.41,751.23,274,62
656,2,91.94,183.88,275,7
657,1,144.02,144.02,275,77
658,6,72.94,437.64,276,105
659,4,218.2,872.8,276,55
660,5,89.73,448.65,277,57
661,2,222.46,444.92,277,108
662,5,239.6,1198,278,56
663,1,21.28,21.28,278,18
664,2,77.46,154.92,278,59
665,5,245.55,1227.75,278,45
666,2,212.87,425.74,279,72
667,4,83.11,332.44,280,91
668,6,110.69,664.14,280,6
669,3,44.41,133.23,280,44
670,2,249.6,499.2,281,80
671,6,102.29,613.74,281,65
672,5,61.66,308.3,282,19
673,3,19.78,59.34,282,86
674,1,78.5,78.5,282,35
675,4,72.53,290.12,283,64
676,1,5.08,5.08,284,13
677,4,110.73,442.92,284,6
678,6,196.32,1177.92,285,70
679,3,136.77,410.31,285,50
680,2,223.86,447.72,286,101
681,4,66.38,265.52,286,64
682,5,93.43,467.15,287,103
683,6,118.04,708.24,287,2
684,1,151.77,151.77,287,27
685,6,90.58,543.48,288,47
686,1,77.74,77.74,288,35
687,6,249.2,1495.2,289,106
688,6,158.91,953.46,289,24
689,3,22.33,66.99,290,67
690,2,177.89,355.78,290,9
691,2,218.48,436.96,290,55
692,5,86.29,431.45,291,91
693,4,236.56,946.24,291,28
694,2,153.62,307.24,291,83
695,5,58.04,290.2,291,5
696,3,164.53,493.59,292,107
697,2,227.22,454.44,292,92
698,4,78.66,314.64,292,68
699,6,146.29,877.74,293,27
700,1,148.13,148.13,293,83
701,6,24.88,149.28,293,20
702,3,181.18,543.54,293,107
703,2,239.78,479.56,294,28
704,1,171.39,171.39,294,9
705,4,45.03,180.12,294,11
706,5,105.33,526.65,295,48
707,3,21.11,63.33,295,18
708,4,249.63,998.52,295,80
709,6,169.12,1014.72,295,3
710,2,211.3,422.6,296,73
711,5,65.49,327.45,296,42
712,2,159.36,318.72,296,30
713,4,81.68,326.72,297,68
714,2,63.39,126.78,297,39
715,4,125.34,501.36,297,50
716,2,140.45,280.9,298,63
717,5,247.82,1239.1,299,62
718,2,72.32,144.64,300,105
719,1,236.44,236.44,301,16
720,2,147.96,295.92,301,77
721,5,47.75,238.75,301,40
722,2,72.91,145.82,302,54
723,1,238,238,302,106
724,2,69.16,138.32,302,105
725,3,67.6,202.8,302,42
726,1,66.13,66.13,303,64
727,3,77.56,232.68,303,59
728,4,56.76,227.04,303,19
729,1,60.07,60.07,304,19
730,4,81.51,326.04,305,91
731,3,149.21,447.63,305,27
732,6,147.8,886.8,305,83
733,6,177.25,1063.5,305,10
734,5,93.43,467.15,306,103
735,4,78.39,313.56,306,54
736,6,251.21,1507.26,306,58
737,4,13.81,55.24,307,21
738,3,231.05,693.15,307,72
739,1,51.33,51.33,307,61
740,4,53.23,212.92,308,114
741,1,179.19,179.19,308,51
742,1,176.04,176.04,309,111
743,2,249.84,499.68,309,101
744,6,209.95,1259.7,309,34
745,2,73.33,146.66,309,59
746,1,185.06,185.06,310,78
747,2,244.53,489.06,310,76
748,5,42.33,211.65,310,44
749,6,145.15,870.9,310,77
750,2,51.8,103.6,311,61
751,6,43.28,259.68,311,44
752,3,201.8,605.4,311,70
753,2,52.21,104.42,312,32
754,6,153.31,919.86,312,83
755,1,91.86,91.86,312,57
756,4,186.93,747.72,313,51
757,6,240.23,1441.38,314,69
758,3,251.39,754.17,314,58
759,1,249.77,249.77,314,106
760,5,163.14,815.7,315,89
761,1,52.86,52.86,315,61
762,3,76.98,230.94,315,54
763,3,12.5,37.5,316,41
764,4,249.6,998.4,316,80
765,4,175.96,703.84,317,98
766,6,192.65,1155.9,317,51
767,4,76.12,304.48,317,54
768,5,115.63,578.15,318,2
769,4,237.1,948.4,319,88
770,2,20.15,40.3,320,86
771,4,110.43,441.72,320,17
772,5,5.53,27.65,320,13
773,3,57.41,172.23,320,19
774,2,33.23,66.46,321,85
775,2,171.39,342.78,321,9
776,4,196.59,786.36,321,1
777,3,154.71,464.13,321,27
778,5,61.07,305.35,322,39
779,2,4.39,8.78,322,43
780,2,147.35,294.7,322,60
781,5,133.62,668.1,322,50
782,6,12.81,76.86,323,41
783,4,123.14,492.56,323,81
784,6,96.6,579.6,324,103
785,2,125.76,251.52,324,82
786,4,95.04,380.16,325,103
787,2,171.39,342.78,325,9
788,5,154.9,774.5,326,63
789,1,74.47,74.47,327,54
790,4,180.94,723.76,327,75
791,3,112.1,336.3,327,17
792,6,249.6,1497.6,327,80
793,4,68.46,273.84,328,64
794,2,237.1,474.2,329,88
795,3,57.04,171.12,330,114
796,1,151.96,151.96,330,83
797,3,191.42,574.26,331,1
798,5,114.52,572.6,331,82
799,3,25.64,76.92,331,97
800,5,75.4,377,331,68
801,3,248.36,745.08,332,101
802,3,107.55,322.65,332,31
803,6,221.46,1328.76,332,55
804,3,26.85,80.55,333,14
805,4,212.87,851.48,333,72
806,5,19.93,99.65,334,18
807,4,56.09,224.36,334,5
808,4,196.34,785.36,334,99
809,2,136.4,272.8,335,8
810,4,52.41,209.64,335,110
811,4,157.36,629.44,335,83
812,1,117.5,117.5,335,31
813,2,172.83,345.66,336,26
814,3,169.25,507.75,336,30
815,4,63.47,253.88,336,96
816,3,227.82,683.46,337,92
817,5,118.04,590.2,337,2
818,5,20.67,103.35,337,86
819,6,141.74,850.44,337,8
820,2,64.04,128.08,338,90
821,6,171.7,1030.2,338,30
822,2,203.19,406.38,339,79
823,4,19.81,79.24,340,18
824,1,46.88,46.88,340,4
825,5,122.29,611.45,341,82
826,5,255.16,1275.8,341,23
827,2,110.95,221.9,341,2
828,5,53.83,269.15,341,113
829,6,144.02,864.12,342,77
830,5,151.33,756.65,342,24
831,4,52.36,209.44,343,114
832,5,67.15,335.75,343,96
833,4,221.13,884.52,344,99
834,1,33.22,33.22,344,85
835,3,178.01,534.03,344,111
836,2,194.13,388.26,345,73
837,2,64.72,129.44,345,90
838,1,182.06,182.06,345,1
839,2,73.55,147.1,345,54
840,2,95.04,190.08,346,103
841,3,77.56,232.68,346,59
842,3,110.56,331.68,347,31
843,4,65.85,263.4,347,64
844,3,20.04,60.12,347,18
845,3,104.73,314.19,347,65
846,5,160.84,804.2,348,33
847,4,186.68,746.72,348,46
848,4,132.88,531.52,348,93
849,6,127.03,762.18,349,25
850,5,95.78,478.9,350,103
851,5,141.45,707.25,350,25
852,4,180.73,722.92,350,26
853,3,195.71,587.13,350,51
854,6,110.56,663.36,351,31
855,4,22.51,90.04,352,52
856,3,163.14,489.42,352,89
857,1,253.48,253.48,352,23
858,1,95.04,95.04,353,103
859,4,110.95,443.8,353,2
860,2,163,326,353,37
861,6,234.92,1409.52,354,76
862,6,102.29,613.74,355,65
863,3,191.42,574.26,355,1
864,3,4.39,13.17,355,43
865,5,12.5,62.5,355,41
866,1,73.86,73.86,356,59
867,5,200.23,1001.15,356,29
